,Job_title,company_name,City,State,job_type,qualification,average_rating_list,company_culture,growth_opportunities,people_you_work_with,person_you_work_for,rewards_you_receive,suppport_you_get,way_you_work,work_setting,Designation,final_rating,polarity,Sentiment
366,Senior Developer - Information Technology (.NET Developer),United Airlines,Bengaluru,Karnataka,Full-time,"['.NET Core', 'Relational databases', 'Design patterns', 'Vendor management', 'NoSQL', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
367,Senior Backend Developer,Canibuild Au Pty Ltd,New Delhi,Delhi,Full-time,"['React', 'TypeScript', 'Continuous integration', 'SQL', 'Node.js', ""Bachelor's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
368,Customer Data Analyst,Efftronics Systems,Mangalagiri,Andhra Pradesh,New-Grad,"['Software testing', ""Bachelor's degree"", 'Diploma']",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
369,Data Scientist,Brandmuscle,Bengaluru,Karnataka,Full-time,"['SQL', 'NoSQL', 'Cassandra', 'Communication skills', 'Adobe Analytics', ""Bachelor's degree""]",3.3,3.3,2,4.7,4.3,4,3,3,2.3,Scientist,3.3,-0.5859,Negative
370,Big Data and Analytics Consultant,Google,Bengaluru,Karnataka,Full-time,"['Full-stack development', 'Spark', 'Redis', 'Tableau', 'MySQL', ""Bachelor's degree"", ""Master's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Consultant,4.2,0.9806,Positive
371,Data Scientist,Wolters Kluwer,Pune,Maharashtra,Full-time,"['Power BI', 'SQL', 'Microsoft Excel', 'Microsoft Powerpoint', 'Communication skills', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
372,Analyst / Senior Analyst– Data Science & Strategy,Amex,Gurgaon,Haryana,Not mentioned,"['Statistical analysis', 'SQL', 'Spark', 'Apache Hive', 'SAS', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
373,Control Management - Data Visualization & Report Automation Associate,"JPMorgan Chase Bank, N.A.",Bengaluru,Karnataka,Full-time,"['Tableau', 'Banking', 'Alteryx', 'Analytics', 'Hadoop', ""Bachelor's degree"", ""Master's degree""]",4.1,4,3.7,4.4,4.3,3.8,4.1,4.2,4.1,Associate,4.1,0.4404,Negative
374,Data Engineer,Hewlett Packard Enterprise,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'Communication skills', 'Less', ""Bachelor's degree"", ""Master's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
375,Data Scientist,Synaptic,Gurgaon,Haryana,Full-time,"['Continuous integration', 'Spark', 'Microsoft Excel', 'Microsoft Powerpoint', 'Git', ""Bachelor's degree"", ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
376,Data Scientist,CanGo Networks,Chennai,Tamil Nadu,Full-time,"['Software deployment', 'PyTorch', 'NoSQL', 'MySQL', 'Deep learning', ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
377,"Data Analytics Lead, Google Cloud",Google,Mumbai,Maharashtra,Full-time,"['Data analytics', 'Full-stack development', 'Analytics', 'Machine learning', 'Data management', ""Bachelor's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Analyst,4.2,0.9806,Positive
378,DATA SCIENCE TRAINER,Camerin innovation Hub,Kanayannur,Kerala,Full-time,"['NumPy', 'Pandas', 'SciPy', 'Communication skills', 'Machine learning']",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
379,"Data Scientist, Business and Marketing",Google,Bengaluru,Karnataka,Full-time,"['CSS', 'SQL', 'Natural language processing', 'Analytics', 'R', ""Bachelor's degree"", ""Master's degree""]",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Scientist,4.2,0.9806,Positive
380,Junior Data Scientist,Soothsayer Analytics,Hyderabad,Telangana,Full-time,"['Bash', 'Perl', 'SQL', 'Apache Hive', 'MapReduce', ""Bachelor's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
381,Data Scientist,Sequretek,Mumbai,Maharashtra,Not mentioned,"['Deep learning', 'TensorFlow', 'Analysis skills', 'Agile', 'Machine learning', ""Master's degree""]",3.9,3.8,3.4,4.4,4.1,3.7,3.9,4.1,4,Scientist,3.9,0,Negative
382,Jr. Software Tester - Bangalore,MaitreLekha Global Services,Bengaluru,Karnataka,Full-time,"['React', 'IVR', 'APIs', 'PostgreSQL', 'Encryption', ""Bachelor's degree"", ""Master's degree""]",4,3.9,3.6,4.4,4.2,3.8,3.9,4.1,3.9,Other,4,0.4404,Negative
383,Data Engineer,TheHive,Remote,Remote,Temporary | Contract,"['SQL', 'Apache Hive', '.NET', 'Database development', 'C++', ""Bachelor's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
384,Web Developer – Fresher,IntelloGrit,Remote,Remote,Full-time,"['CSS', 'Relational databases', 'Visual design', 'SEO', 'Application development', ""Master's degree""]",4,3.9,3.6,4.5,4.2,3.5,3.9,4.1,4.2,Developer,4,0.4404,Negative
385,SOC Analyst,Henkel,Bengaluru,Karnataka,Full-time,"['Elasticsearch', 'Analysis skills', 'Information security', ""Master's degree""]",3.7,3.6,3.1,4.2,3.9,3.6,3.5,3.9,3.5,Analyst,3.7,-0.2263,Negative
386,Associate Data Scientist (Analytical),Eli Lilly,Bengaluru,Karnataka,Full-time,['Workday'],4.1,4,3.7,4.4,4.3,3.8,4.1,4.2,4.1,Associate,4.1,0.4404,Negative
387,Sr. Backend Engineer,"tawk.to, Inc",New Delhi,Delhi,Full-time,"['Elasticsearch', 'TypeScript', 'Redis', 'Node.js', 'NoSQL', ""Bachelor's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
388,"Software Engineer, Principal I",Progress,Hyderabad,Telangana,Full-time,"['SOAP', 'SQL', 'SSL', 'Windows', 'JDBC', ""Master's degree""]",4.1,4.1,3.5,4.4,4.2,4,4.1,4.2,4.2,Engineer,4.1,0.4404,Negative
389,"Senior Software Engineer, Infrastructure, Technical Infrastructure",Google,Bengaluru,Karnataka,Full-time,"['Distributed systems', 'System design', 'Natural language processing', 'AI', 'Software development', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",4.2,4.3,3.6,4.5,4.2,4.2,4.3,4.2,4.3,Engineer,4.2,0.9806,Positive
